department,procurement_strategy,total_value
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financi̬res Canada,Sole-Source / Non-Competitive,958666461.9899992
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financi̬res Canada,Standing Offer / Supply Arrangement,111993505.39999996
Office of the Superintendent of Financial Institutions Canada | Bureau du surintendant des institutions financi̬res Canada,Competitive,1303584.71
Office of the Taxpayers' Ombudsperson | Bureau de l'ombudsman des contribuables,Other / Unspecified,528845.1699999999
Pacific Economic Development Canada | D̩veloppement ̩conomique Canada pour le Pacifique,Sole-Source / Non-Competitive,7481235.7
Pacific Economic Development Canada | D̩veloppement ̩conomique Canada pour le Pacifique,Standing Offer / Supply Arrangement,817511.2899999999
Parks Canada | Parcs Canada,Competitive,6163556254.250008
Parks Canada | Parcs Canada,Sole-Source / Non-Competitive,1662758564.8800073
Parks Canada | Parcs Canada,Standing Offer / Supply Arrangement,311022473.0099999
Parks Canada | Parcs Canada,Other / Unspecified,81332229.29000005
